order,heading,roll,pitch,ax,ay,az
423,359.75,1.1875,25.5,0.02,0.0,-0.03
424,359.75,1.1875,25.5,0.02,0.0,-0.03
425,359.75,1.1875,25.5,0.02,0.0,-0.03
426,359.75,1.1875,25.5,0.0,0.0,-0.01
427,359.75,1.1875,25.5,0.01,-0.01,-0.03
428,359.75,1.1875,25.5,0.01,-0.01,-0.03
429,359.75,1.1875,25.5,0.02,0.0,-0.04
430,359.75,1.1875,25.5,0.01,0.0,-0.02
431,359.75,1.1875,25.5,0.0,0.0,-0.03
432,359.75,1.1875,25.5,0.0,0.0,-0.03
433,359.75,1.1875,25.5,0.01,-0.01,-0.02
434,359.75,1.1875,25.5,0.0,-0.02,-0.04
435,359.75,1.1875,25.5,0.01,0.0,-0.04
436,359.75,1.1875,25.5,0.01,0.0,-0.04
437,359.75,1.1875,25.5,0.01,0.0,-0.01
438,359.75,1.1875,25.5,0.01,0.0,-0.01
439,359.75,1.1875,25.5,0.0,0.0,-0.02
440,359.75,1.1875,25.5,0.0,-0.01,-0.04
441,359.75,1.1875,25.5,0.0,-0.01,-0.04
442,359.75,1.1875,25.5,0.02,-0.01,-0.04
443,359.75,1.1875,25.5,0.01,0.0,-0.02
444,359.75,1.1875,25.5,0.0,0.0,-0.02
445,359.75,1.1875,25.5,0.01,0.0,-0.04
446,359.75,1.1875,25.5,0.01,0.0,-0.05
447,359.75,1.1875,25.5,0.01,0.0,-0.05
448,359.75,1.1875,25.5,0.0,-0.02,-0.04
449,359.75,1.1875,25.5,0.0,-0.01,-0.04
450,359.75,1.1875,25.5,0.01,0.01,0.0
451,359.75,1.1875,25.5,0.01,0.0,-0.02
452,359.75,1.1875,25.5,0.01,0.0,-0.02
453,359.75,1.1875,25.5,0.0,-0.01,-0.04
454,359.75,1.1875,25.5,0.0,0.0,-0.01
455,359.75,1.1875,25.5,0.01,0.0,-0.04
456,359.75,1.1875,25.5,0.02,0.0,-0.03
457,359.75,1.1875,25.5,0.02,0.0,-0.03
458,359.75,1.1875,25.5,0.0,-0.02,-0.01
459,359.75,1.1875,25.5,0.01,-0.01,-0.03
460,359.75,1.1875,25.5,0.01,-0.01,-0.03
461,359.75,1.1875,25.5,0.01,0.0,-0.02
462,359.75,1.1875,25.5,0.01,0.0,-0.02
463,359.75,1.1875,25.5,0.0,0.0,0.0
464,359.75,1.1875,25.5,0.01,0.0,-0.03
465,359.75,1.1875,25.5,0.0,-0.01,-0.02
466,359.75,1.1875,25.5,0.01,-0.01,0.0
467,359.75,1.1875,25.5,0.01,0.01,-0.01
468,359.75,1.1875,25.5,0.0,-0.01,-0.03
469,359.75,1.1875,25.5,0.0,0.0,-0.05
470,359.75,1.1875,25.5,0.0,0.0,-0.05
471,359.75,1.1875,25.5,0.0,0.0,-0.02
472,359.75,1.1875,25.5,0.0,0.0,-0.02
473,359.75,1.1875,25.5,0.02,0.0,-0.03
474,359.75,1.1875,25.5,0.02,0.0,-0.03
475,359.75,1.1875,25.5,0.0,-0.02,-0.03
476,359.75,1.1875,25.5,0.0,-0.02,-0.03
477,359.75,1.1875,25.5,0.01,0.0,-0.03
478,359.75,1.1875,25.5,0.02,0.01,-0.05
479,359.75,1.1875,25.5,0.02,0.01,-0.05
480,359.75,1.1875,25.5,0.02,0.0,-0.03
481,359.75,1.1875,25.5,0.0,0.0,-0.02
482,359.75,1.1875,25.5,0.01,0.0,0.0
483,359.75,1.1875,25.5,0.01,0.0,0.0
484,359.75,1.1875,25.5,0.0,0.0,-0.05
485,359.75,1.1875,25.5,0.0,0.0,-0.05
486,359.75,1.1875,25.5,0.0,-0.01,0.0
487,359.75,1.1875,25.5,0.0,0.0,-0.02
488,359.75,1.1875,25.5,0.01,-0.01,-0.03
